platform,campaign,ad_group,language,keyword,match_type,headline_1,headline_2,description,final_url,utm_template
Google Ads,Search_ALM_Signs,signs_almaty,ru,"вывески алматы",phrase,"Вывески в Алматы | Art Line","Дизайн и монтаж вывесок","Изготовление вывесок для бизнеса. Отправьте фото, размеры или описание задачи — обсудим расчёт.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_Signs,signs_almaty,ru,"изготовление вывесок алматы",phrase,"Изготовление вывесок","Фасадные решения в Алматы","От замера и макета до производства и монтажа рекламной конструкции.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_Signs,facade_sign,ru,"фасадная вывеска алматы",phrase,"Фасадные вывески в Алматы","Рассчитать вывеску","Пришлите фото фасада и размеры. Обсудим задачу и следующий шаг.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_Light,illuminated_letters,ru,"световые буквы алматы",phrase,"Световые буквы в Алматы","От макета до монтажа","Световые и объёмные буквы для фасада, офиса или магазина.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_Light,volume_letters,ru,"объемные буквы алматы",phrase,"Объёмные буквы для фасада","Решение под объект","Опишите задачу или отправьте фото и размеры — подскажем следующий шаг.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_Light,lightbox,ru,"лайтбокс алматы",phrase,"Лайтбоксы в Алматы","Световые короба для бизнеса","Световые короба и панели для фасада, офиса или магазина.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_Additional,shop_window,ru,"оформление витрин алматы",phrase,"Оформление витрин в Алматы","Брендирование для ритейла","Витрины, плёнки и брендирование под задачу коммерческого объекта.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_Additional,wayfinding,ru,"навигация и таблички алматы",phrase,"Навигация и таблички","Для офиса и бизнеса","Системы навигации и таблички для офисов, магазинов и общественных зон.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_Additional,large_format_print,ru,"широкоформатная печать алматы",phrase,"Широкоформатная печать","Баннеры и рекламные поверхности","Печать для интерьера, улицы и мероприятий. Отправьте задачу для обсуждения.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_Additional,branding,ru,"брендирование транспорта алматы",phrase,"Брендирование в Алматы","Решение под задачу бизнеса","Транспорт, стойки, фотозоны и временные конструкции для проектов.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
